label,c_value,blend_weight,ensemble_type,log_loss,brier_score,ece
hybrid_platt,1.0,0.3,single,0.5477344031313061,0.18469053495034152,0.06760544123795252
hybrid_platt,1.0,0.15,single,0.547759376861172,0.18454379330868265,0.06512488119149289
hybrid_platt,0.5,0.15,single,0.5478274973469426,0.18456588652441386,0.06527877120434279
hybrid_platt,1.0,0.15,ensemble,0.5478839849401428,0.18458317011619255,0.06678040436816363
hybrid_platt,0.5,0.3,single,0.5479505982794373,0.18475474844708392,0.0678372732406733
hybrid_platt,0.5,0.15,ensemble,0.5480016388297483,0.1846216917160031,0.06556640099869648
hybrid_platt,0.2,0.15,single,0.5480099498506251,0.18462450554565935,0.06667772443146906
hybrid_platt,1.0,0.3,ensemble,0.5480170697261003,0.1847754793503734,0.0671528388922928
hybrid_platt,0.1,0.15,single,0.54828450515661,0.18470983619146084,0.0702501172999092
hybrid_platt,0.2,0.15,ensemble,0.548321030067794,0.18472238928164839,0.06925352134493834
hybrid_platt,0.5,0.3,ensemble,0.5484087566520808,0.18489250001194538,0.06845740222023504
hybrid_platt,0.2,0.3,single,0.5485461915066432,0.18493168625210984,0.06881193310002204
hybrid_platt,1.0,0.45,single,0.548715029076159,0.1850972979879024,0.07122332167799854
hybrid_platt,0.05,0.15,single,0.5487512992049685,0.18484891248640922,0.07265553563126116
hybrid_platt,0.1,0.15,ensemble,0.5487729720384081,0.1848576303612237,0.0726574682380753
raw,,0.0,raw,0.5491171952476038,0.18465707306292578,0.06806033968572926
hybrid_platt,0.5,0.45,single,0.5491348642504262,0.18522365883093597,0.06625297129911265
hybrid_platt,1.0,0.45,ensemble,0.5491717916110169,0.18523400076546823,0.06610889778655303
hybrid_platt,0.1,0.3,single,0.5494507085266266,0.18519982230118426,0.06450429322263755
hybrid_platt,0.2,0.3,ensemble,0.5494810357342804,0.18521144179718185,0.06628726117368582
hybrid_platt,0.05,0.15,ensemble,0.5494817778046289,0.18505985096209943,0.06645610520841146
hybrid_platt,0.02,0.15,single,0.549761019431612,0.1851353392431433,0.0671533800548164
hybrid_platt,0.5,0.45,ensemble,0.5499458224752382,0.18546949795075265,0.06736168876343032
hybrid_platt,0.2,0.45,single,0.5503023433146518,0.18557861518227722,0.06689637166107253
hybrid_platt,1.0,0.6,single,0.5505200496035537,0.1857640824213653,0.06594349650292097
hybrid_platt,0.02,0.15,ensemble,0.5507607520569664,0.18541475769105312,0.0658373108287565
hybrid_platt,0.05,0.3,single,0.5509955480771084,0.18565896095036008,0.06933857349718002
hybrid_platt,0.1,0.3,ensemble,0.5509994077182624,0.18566311586016995,0.06926556921010713
hybrid_platt,1.0,0.6,ensemble,0.5511610041950736,0.18595873436147706,0.06377593064895437
hybrid_platt,0.5,0.6,single,0.5511878408396255,0.18597261767596998,0.0714556776115151
hybrid_platt,0.2,0.45,ensemble,0.5520665213898468,0.1861242306095261,0.06948232487679322
hybrid_platt,0.1,0.45,single,0.5520777691355919,0.18612703139209608,0.0696026331368063
hybrid_platt,0.5,0.6,ensemble,0.5524039845022392,0.1863526855324249,0.078494356454522
hybrid_platt,0.2,0.6,single,0.5530537582065816,0.18656529233616145,0.0757672187440969
hybrid_platt,0.05,0.3,ensemble,0.5533463773945223,0.18637052121123523,0.0690079016335592
hybrid_platt,0.02,0.3,single,0.5542965752166291,0.18665959440243532,0.07490655108364441
hybrid_platt,0.1,0.45,ensemble,0.5550611612745219,0.1870735295597646,0.07893510602666813
hybrid_platt,0.05,0.45,single,0.5551071458904252,0.18708721845477846,0.08217135943190519
hybrid_platt,0.2,0.6,ensemble,0.5558095622044956,0.18746075571868123,0.08963500115383378
hybrid_platt,0.1,0.6,single,0.5558924986503442,0.18749146346419632,0.07722865698673925
hybrid_platt,0.02,0.3,ensemble,0.5574675904099567,0.18766157642303294,0.08023149869220982
baseline_platt,1.0,1.0,single,0.5586062618948359,0.18881338995723188,0.08559613590613978
regularized_platt,1.0,1.0,single,0.5586062618948359,0.18881338995723188,0.08559613590613978
hybrid_platt,0.05,0.45,ensemble,0.5596545121543974,0.18858908381033326,0.08026616500840124
ensemble_platt,1.0,1.0,ensemble,0.559773927396833,0.18919283905752463,0.08890116583277326
regularized_platt,0.5,1.0,single,0.5601123141062363,0.1893389670729504,0.08968382860834757
hybrid_platt,0.1,0.6,ensemble,0.560610051720739,0.1890888714600076,0.07706878887599863
hybrid_platt,0.05,0.6,single,0.5607329271394619,0.18913368499966424,0.0779945320315731
hybrid_platt,0.02,0.45,single,0.5615346836691412,0.1892298385408018,0.07629678814934208
ensemble_platt,0.5,1.0,ensemble,0.5626153757312314,0.19020477955977974,0.09701961146164634
regularized_platt,0.2,1.0,single,0.5643493957232625,0.1908574227291354,0.09652371873519534
hybrid_platt,0.02,0.45,ensemble,0.5676348932206793,0.19139752925886513,0.08685818703509231
hybrid_platt,0.05,0.6,ensemble,0.5679465350920169,0.19171553875939348,0.0948151366779126
ensemble_platt,0.2,1.0,ensemble,0.5704092510260402,0.19309642234972565,0.09537694587195807
regularized_platt,0.1,1.0,single,0.5708077576150405,0.19326748356449577,0.09666369319458346
hybrid_platt,0.02,0.6,single,0.5709723798631674,0.19284607165824275,0.09433171623959873
hybrid_platt,0.02,0.6,ensemble,0.5806487013547257,0.19662261619854982,0.10643867245986262
ensemble_platt,0.1,1.0,ensemble,0.5814014666390804,0.19742054328604755,0.11237364512005628
regularized_platt,0.05,1.0,single,0.5818425997167488,0.1976132844283116,0.11343417781991384
ensemble_platt,0.05,1.0,ensemble,0.5982227669270616,0.20449133677892475,0.1395969983201877
regularized_platt,0.02,1.0,single,0.6052822061001795,0.2076030838691161,0.14379678185390343
ensemble_platt,0.02,1.0,ensemble,0.6276065143324333,0.21783639254543205,0.16829558595652372
